message,label
Don't forget to submit your assignment by Monday.,ham
Win a free iPhone now! Click the link below.,spam
Can you send me the notes from the last class?,ham
Check out this cool article I found!,ham
"Hey, are we still on for lunch tomorrow?",ham
Congratulations! You've won a lottery. Claim your prize!,spam
Your Amazon order has been shipped.,ham
Congratulations! You've won a lottery. Claim your prize!,spam
Exclusive deal! Get 50% off on all purchases today.,spam
Don't forget to submit your assignment by Monday.,ham
Check out this cool article I found!,ham
Can you send me the notes from the last class?,ham
Urgent: Your bank account has been compromised!,spam
Congratulations! You've won a lottery. Claim your prize!,spam
Are you coming to the gym later?,ham
"Limited-time offer! Buy one, get one free.",spam
Can you send me the notes from the last class?,ham
See you at the meeting at 10 AM.,ham
Your Amazon order has been shipped.,ham
Can you send me the notes from the last class?,ham
Earn money from home with this simple trick!,spam
Reminder: Your dentist appointment is tomorrow at 3 PM.,ham
Check out this cool article I found!,ham
Don't forget to submit your assignment by Monday.,ham
Check out this cool article I found!,ham
Can you send me the notes from the last class?,ham
Reminder: Your dentist appointment is tomorrow at 3 PM.,ham
Are you coming to the gym later?,ham
Exclusive deal! Get 50% off on all purchases today.,spam
Act now! This special offer expires soon.,spam
"Limited-time offer! Buy one, get one free.",spam
Reminder: Your dentist appointment is tomorrow at 3 PM.,ham
Earn money from home with this simple trick!,spam
Can you send me the notes from the last class?,ham
"Limited-time offer! Buy one, get one free.",spam
Reminder: Your dentist appointment is tomorrow at 3 PM.,ham
Check out this cool article I found!,ham
"Hey, are we still on for lunch tomorrow?",ham
Get rich quick with this investment opportunity.,spam
Can you send me the notes from the last class?,ham
Your Amazon order has been shipped.,ham
Win a free iPhone now! Click the link below.,spam
Your Amazon order has been shipped.,ham
Let's meet up this weekend for a coffee.,ham
Earn money from home with this simple trick!,spam
Reminder: Your dentist appointment is tomorrow at 3 PM.,ham
Win a free iPhone now! Click the link below.,spam
You have an unclaimed reward waiting for you!,spam
Urgent: Your bank account has been compromised!,spam
Congratulations! You've won a lottery. Claim your prize!,spam
Can you send me the notes from the last class?,ham
Earn money from home with this simple trick!,spam
Get rich quick with this investment opportunity.,spam
Are you coming to the gym later?,ham
Mom wants to know if you're visiting for dinner.,ham
Mom wants to know if you're visiting for dinner.,ham
Can you send me the notes from the last class?,ham
Reminder: Your dentist appointment is tomorrow at 3 PM.,ham
Win a free iPhone now! Click the link below.,spam
Your Amazon order has been shipped.,ham
Congratulations! You've won a lottery. Claim your prize!,spam
Your account needs verification. Click here to resolve the issue.,spam
See you at the meeting at 10 AM.,ham
Can you send me the notes from the last class?,ham
Exclusive deal! Get 50% off on all purchases today.,spam
Mom wants to know if you're visiting for dinner.,ham
Let's meet up this weekend for a coffee.,ham
