message,label
Win a free iPhone now! Click the link below.,spam
"Hey, are we still on for lunch tomorrow?",ham
Congratulations! You've won a lottery. Claim your prize!,spam
Don't forget to submit your assignment by Monday.,ham
"Limited-time offer! Buy one, get one free.",spam
Your account needs verification. Click here to resolve the issue.,spam
Can you send me the notes from the last class?,ham
Reminder: Your dentist appointment is tomorrow at 3 PM.,ham
Earn money from home with this simple trick!,spam
Let's meet up this weekend for a coffee.,ham
